session_id,driver,lap_number,corner,event_type,reason,timestamp,source
2023_Austrian_Grand_Prix_Race,SAR,57,Turn 9,DELETED_LAP,TRACK LIMITS AT TURN 9 LAP 57 ,0 days 02:12:21.885000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,MAG,28,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 LAP 28 ,0 days 01:37:52.919000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,MAG,29,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 (NEXT LAP),0 days 01:39:05.107000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,MAG,42,Turn 9,DELETED_LAP,TRACK LIMITS AT TURN 9 LAP 42 ,0 days 01:54:53.755000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,MAG,43,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 LAP 43 ,0 days 01:56:04.386000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,MAG,44,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 (NEXT LAP),0 days 01:57:15.066000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,MAG,57,Turn 9,DELETED_LAP,TRACK LIMITS AT TURN 9 LAP 57 ,0 days 02:12:39.553000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,DEV,5,Turn 9,DELETED_LAP,TRACK LIMITS AT TURN 9 LAP 5 ,0 days 01:09:38.184000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,DEV,21,Turn 9,DELETED_LAP,TRACK LIMITS AT TURN 9 LAP 21 ,0 days 01:29:36.326000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,TSU,5,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 LAP 5 ,0 days 01:09:37.223000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,TSU,6,Turn 9,DELETED_LAP,TRACK LIMITS AT TURN 9 LAP 6 ,0 days 01:10:49.163000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,TSU,8,Turn 9,DELETED_LAP,TRACK LIMITS AT TURN 9 LAP 8 ,0 days 01:13:12.236000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,TSU,9,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 LAP 9 ,0 days 01:14:23.961000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,TSU,10,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 (NEXT LAP),0 days 01:15:35.813000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,TSU,22,Turn 9,DELETED_LAP,TRACK LIMITS AT TURN 9 LAP 22 ,0 days 01:30:37.314000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,TSU,47,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 LAP 47 ,0 days 02:00:56.774000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,TSU,48,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 LAP 48 ,0 days 02:02:06.782000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,TSU,49,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 (NEXT LAP),0 days 02:03:16.822000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,TSU,62,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 LAP 62 ,0 days 02:18:37.308000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,TSU,63,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 (NEXT LAP),0 days 02:19:48.763000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,ALB,19,Turn 9,DELETED_LAP,TRACK LIMITS AT TURN 9 LAP 19 ,0 days 01:27:00.014000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,ALB,20,Turn 9,DELETED_LAP,TRACK LIMITS AT TURN 9 LAP 20 ,0 days 01:28:11.319000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,ALB,25,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 LAP 25 ,0 days 01:34:06.211000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,ALB,26,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 LAP 26 ,0 days 01:35:17.109000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,ALB,27,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 (NEXT LAP),0 days 01:36:28.457000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,ALB,28,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 LAP 28 ,0 days 01:37:39.472000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,ALB,29,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 (NEXT LAP),0 days 01:38:50.488000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,HUL,8,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 LAP 8 ,0 days 01:13:06.151000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,HUL,9,Turn 9,DELETED_LAP,TRACK LIMITS AT TURN 9 LAP 9 ,0 days 01:14:17.399000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,HUL,10,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 LAP 10 ,0 days 01:15:28.653000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,OCO,27,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 LAP 27 ,0 days 01:36:29.267000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,OCO,28,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 (NEXT LAP),0 days 01:37:40.144000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,OCO,38,Turn 9,DELETED_LAP,TRACK LIMITS AT TURN 9 LAP 38 ,0 days 01:49:31.574000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,OCO,58,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 LAP 58 ,0 days 02:13:29.385000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,OCO,59,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 (NEXT LAP),0 days 02:14:39.377000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,NOR,28,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 LAP 28 ,0 days 01:37:18.798000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,NOR,29,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 (NEXT LAP),0 days 01:38:29.624000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,NOR,64,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 LAP 64 ,0 days 02:19:37.868000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,NOR,65,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 (NEXT LAP),0 days 02:20:47.738000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,HAM,4,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 LAP 4 ,0 days 01:08:17.885000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,HAM,5,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 LAP 5 ,0 days 01:09:28.591000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,HAM,6,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 LAP 6 ,0 days 01:10:39.337000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,HAM,7,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 (NEXT LAP),0 days 01:11:49.934000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,HAM,8,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 LAP 8 ,0 days 01:13:00.513000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,HAM,9,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 LAP 9 ,0 days 01:14:11.111000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,HAM,10,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 (NEXT LAP),0 days 01:15:22.012000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,HAM,31,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 LAP 8 ,0 days 01:40:51.569000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,SAI,5,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 LAP 5 ,0 days 01:09:27.261000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,SAI,6,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 (NEXT LAP),0 days 01:10:37.660000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,SAI,8,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 LAP 8 ,0 days 01:12:58.449000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,SAI,9,Turn 10,DELETED_LAP,TRACK LIMITS AT TURN 10 (NEXT LAP),0 days 01:14:08.737000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,SAI,10,Turn 9,DELETED_LAP,TRACK LIMITS AT TURN 9 LAP 10 ,0 days 01:15:19.307000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,SAI,11,Turn 9,DELETED_LAP,TRACK LIMITS AT TURN 9 LAP 11 ,0 days 01:16:29.702000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,SAI,17,Turn 9,DELETED_LAP,TRACK LIMITS AT TURN 9 LAP 17 ,0 days 01:24:24.690000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,BOT,5,Turn 9,DELETED_LAP,TRACK LIMITS AT TURN 9 LAP 5 ,0 days 01:09:37.675000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,PIA,12,Turn 9,DELETED_LAP,TRACK LIMITS AT TURN 9 LAP 12 ,0 days 01:17:55.815000,LAPS_TABLE
2023_Austrian_Grand_Prix_Race,HAM,0,Turn 10,RACE_CONTROL_MESSAGE,CAR 44 (HAM) TIME 1:10.981 DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP),2023-07-02 13:14:14,RCM
2023_Austrian_Grand_Prix_Race,ALO,4,Turn 10,RACE_CONTROL_MESSAGE,CAR 14 (ALO) TIME 1:11.892 DELETED - TRACK LIMITS AT TURN 10 LAP 4 15:09:16,2023-07-02 13:14:24,RCM
2023_Austrian_Grand_Prix_Race,ALO,0,Turn 10,RACE_CONTROL_MESSAGE,CAR 14 (ALO) TIME 1:11.059 DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP),2023-07-02 13:14:25,RCM
2023_Austrian_Grand_Prix_Race,HAM,4,Turn 10,RACE_CONTROL_MESSAGE,CAR 44 (HAM) TIME 1:10.981 DELETED - TRACK LIMITS AT TURN 10 LAP 4 15:09:15,2023-07-02 13:15:54,RCM
2023_Austrian_Grand_Prix_Race,TSU,5,Turn 10,RACE_CONTROL_MESSAGE,CAR 22 (TSU) TIME 1:12.518 DELETED - TRACK LIMITS AT TURN 10 LAP 5 15:10:34,2023-07-02 13:15:55,RCM
2023_Austrian_Grand_Prix_Race,TSU,0,Turn 10,RACE_CONTROL_MESSAGE,CAR 22 (TSU) TIME 1:11.940 DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP),2023-07-02 13:15:56,RCM
2023_Austrian_Grand_Prix_Race,LEC,5,Turn 9,RACE_CONTROL_MESSAGE,CAR 16 (LEC) TIME 1:10.416 DELETED - TRACK LIMITS AT TURN 9 LAP 5 15:10:20,2023-07-02 13:16:06,RCM
2023_Austrian_Grand_Prix_Race,SAI,5,Turn 10,RACE_CONTROL_MESSAGE,CAR 55 (SAI) TIME 1:10.409 DELETED - TRACK LIMITS AT TURN 10 LAP 5 15:10:24,2023-07-02 13:16:18,RCM
2023_Austrian_Grand_Prix_Race,SAI,0,Turn 10,RACE_CONTROL_MESSAGE,CAR 55 (SAI) TIME 1:10.399 DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP),2023-07-02 13:16:18,RCM
2023_Austrian_Grand_Prix_Race,HAM,5,Turn 10,RACE_CONTROL_MESSAGE,CAR 44 (HAM) TIME 1:10.706 DELETED - TRACK LIMITS AT TURN 10 LAP 5 15:10:25,2023-07-02 13:17:02,RCM
2023_Austrian_Grand_Prix_Race,BOT,5,Turn 9,RACE_CONTROL_MESSAGE,CAR 77 (BOT) TIME 1:12.673 DELETED - TRACK LIMITS AT TURN 9 LAP 5 15:10:31,2023-07-02 13:17:46,RCM
2023_Austrian_Grand_Prix_Race,DEV,5,Turn 9,RACE_CONTROL_MESSAGE,CAR 21 (DEV) TIME 1:12.701 DELETED - TRACK LIMITS AT TURN 9 LAP 5 15:10:31,2023-07-02 13:17:59,RCM
2023_Austrian_Grand_Prix_Race,HAM,6,Turn 10,RACE_CONTROL_MESSAGE,CAR 44 (HAM) TIME 1:10.746 DELETED - TRACK LIMITS AT TURN 10 LAP 6 15:11:36,2023-07-02 13:18:06,RCM
2023_Austrian_Grand_Prix_Race,HAM,0,Unknown,RACE_CONTROL_MESSAGE,BLACK AND WHITE FLAG FOR CAR 44 (HAM) - TRACK LIMITS,2023-07-02 13:18:19,RCM
2023_Austrian_Grand_Prix_Race,GAS,6,Turn 10,RACE_CONTROL_MESSAGE,CAR 10 (GAS) TIME 1:11.213 DELETED - TRACK LIMITS AT TURN 10 LAP 6 15:11:41,2023-07-02 13:18:23,RCM
2023_Austrian_Grand_Prix_Race,GAS,0,Turn 10,RACE_CONTROL_MESSAGE,CAR 10 (GAS) TIME 1:11.092 DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP),2023-07-02 13:18:24,RCM
2023_Austrian_Grand_Prix_Race,STR,6,Turn 9,RACE_CONTROL_MESSAGE,CAR 18 (STR) TIME 1:11.287 DELETED - TRACK LIMITS AT TURN 9 LAP 6 15:11:37,2023-07-02 13:18:45,RCM
2023_Austrian_Grand_Prix_Race,TSU,6,Turn 9,RACE_CONTROL_MESSAGE,CAR 22 (TSU) TIME 1:11.940 DELETED - TRACK LIMITS AT TURN 9 LAP 6 15:11:42,2023-07-02 13:19:37,RCM
2023_Austrian_Grand_Prix_Race,TSU,8,Turn 9,RACE_CONTROL_MESSAGE,CAR 22 (TSU) TIME 1:11.534 DELETED - TRACK LIMITS AT TURN 9 LAP 8 15:14:05,2023-07-02 13:20:12,RCM
2023_Austrian_Grand_Prix_Race,TSU,0,Unknown,RACE_CONTROL_MESSAGE,BLACK AND WHITE FLAG FOR CAR 22 (TSU) - TRACK LIMITS,2023-07-02 13:21:08,RCM
2023_Austrian_Grand_Prix_Race,SAI,8,Turn 10,RACE_CONTROL_MESSAGE,CAR 55 (SAI) TIME 1:10.431 DELETED - TRACK LIMITS AT TURN 10 LAP 8 15:13:55,2023-07-02 13:22:01,RCM
2023_Austrian_Grand_Prix_Race,HAM,8,Turn 10,RACE_CONTROL_MESSAGE,CAR 44 (HAM) TIME 1:10.579 DELETED - TRACK LIMITS AT TURN 10 LAP 8 15:13:57,2023-07-02 13:22:30,RCM
2023_Austrian_Grand_Prix_Race,HUL,8,Turn 10,RACE_CONTROL_MESSAGE,CAR 27 (HUL) TIME 1:12.213 DELETED - TRACK LIMITS AT TURN 10 LAP 8 15:14:03,2023-07-02 13:23:38,RCM
2023_Austrian_Grand_Prix_Race,HUL,0,Turn 10,RACE_CONTROL_MESSAGE,CAR 27 (HUL) TIME 1:11.248 DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP),2023-07-02 13:23:38,RCM
2023_Austrian_Grand_Prix_Race,HAM,9,Turn 10,RACE_CONTROL_MESSAGE,CAR 44 (HAM) TIME 1:10.598 DELETED - TRACK LIMITS AT TURN 10 LAP 9 15:15:08,2023-07-02 13:25:01,RCM
2023_Austrian_Grand_Prix_Race,TSU,9,Turn 10,RACE_CONTROL_MESSAGE,CAR 22 (TSU) TIME 1:11.725 DELETED - TRACK LIMITS AT TURN 10 LAP 9 15:15:21,2023-07-02 13:25:29,RCM
2023_Austrian_Grand_Prix_Race,HUL,9,Turn 9,RACE_CONTROL_MESSAGE,CAR 27 (HUL) TIME 1:11.248 DELETED - TRACK LIMITS AT TURN 9 LAP 9 15:15:11,2023-07-02 13:25:53,RCM
2023_Austrian_Grand_Prix_Race,HUL,10,Turn 10,RACE_CONTROL_MESSAGE,CAR 27 (HUL) TIME 1:11.254 DELETED - TRACK LIMITS AT TURN 10 LAP 10 15:16:25,2023-07-02 13:28:05,RCM
2023_Austrian_Grand_Prix_Race,HUL,0,Unknown,RACE_CONTROL_MESSAGE,BLACK AND WHITE FLAG FOR CAR 27 (HUL) - TRACK LIMITS,2023-07-02 13:28:17,RCM
2023_Austrian_Grand_Prix_Race,SAI,10,Turn 9,RACE_CONTROL_MESSAGE,CAR 55 (SAI) TIME 1:10.570 DELETED - TRACK LIMITS AT TURN 9 LAP 10 15:16:13,2023-07-02 13:29:56,RCM
2023_Austrian_Grand_Prix_Race,SAI,0,Unknown,RACE_CONTROL_MESSAGE,BLACK AND WHITE FLAG FOR CAR 55 (SAI) - TRACK LIMITS,2023-07-02 13:30:14,RCM
2023_Austrian_Grand_Prix_Race,STR,10,Turn 9,RACE_CONTROL_MESSAGE,CAR 18 (STR) TIME 1:11.037 DELETED - TRACK LIMITS AT TURN 9 LAP 10 15:16:21,2023-07-02 13:30:47,RCM
2023_Austrian_Grand_Prix_Race,SAI,11,Turn 9,RACE_CONTROL_MESSAGE,CAR 55 (SAI) TIME 1:10.395 DELETED - TRACK LIMITS AT TURN 9 LAP 11 15:17:23,2023-07-02 13:31:27,RCM
2023_Austrian_Grand_Prix_Race,PER,11,Turn 9,RACE_CONTROL_MESSAGE,CAR 11 (PER) TIME 1:11.526 DELETED - TRACK LIMITS AT TURN 9 LAP 11 15:17:35,2023-07-02 13:32:11,RCM
2023_Austrian_Grand_Prix_Race,PIA,12,Turn 9,RACE_CONTROL_MESSAGE,CAR 81 (PIA) TIME 1:11.339 DELETED - TRACK LIMITS AT TURN 9 LAP 12 15:18:49,2023-07-02 13:33:37,RCM
2023_Austrian_Grand_Prix_Race,PER,17,Turn 10,RACE_CONTROL_MESSAGE,CAR 11 (PER) TIME 1:10.289 DELETED - TRACK LIMITS AT TURN 10 LAP 17 15:25:19,2023-07-02 13:34:49,RCM
2023_Austrian_Grand_Prix_Race,PER,0,Turn 10,RACE_CONTROL_MESSAGE,CAR 11 (PER) TIME 1:10.399 DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP),2023-07-02 13:34:50,RCM
2023_Austrian_Grand_Prix_Race,SAR,15,Turn 9,RACE_CONTROL_MESSAGE,CAR 2 (SAR) TIME 1:46.237 DELETED - TRACK LIMITS AT TURN 9 LAP 15 15:23:14,2023-07-02 13:35:31,RCM
2023_Austrian_Grand_Prix_Race,SAI,17,Turn 9,RACE_CONTROL_MESSAGE,CAR 55 (SAI) TIME 1:09.129 DELETED - TRACK LIMITS AT TURN 9 LAP 17 15:25:18,2023-07-02 13:37:50,RCM
2023_Austrian_Grand_Prix_Race,ALB,19,Turn 9,RACE_CONTROL_MESSAGE,CAR 23 (ALB) TIME 1:11.355 DELETED - TRACK LIMITS AT TURN 9 LAP 19 15:27:53,2023-07-02 13:40:25,RCM
2023_Austrian_Grand_Prix_Race,ALB,20,Turn 9,RACE_CONTROL_MESSAGE,CAR 23 (ALB) TIME 1:11.305 DELETED - TRACK LIMITS AT TURN 9 LAP 20 15:29:05,2023-07-02 13:40:59,RCM
2023_Austrian_Grand_Prix_Race,GAS,28,Turn 10,RACE_CONTROL_MESSAGE,CAR 10 (GAS) TIME 1:10.670 DELETED - TRACK LIMITS AT TURN 10 LAP 28 15:38:27,2023-07-02 13:41:31,RCM
2023_Austrian_Grand_Prix_Race,ALB,28,Turn 10,RACE_CONTROL_MESSAGE,CAR 23 (ALB) TIME 1:11.015 DELETED - TRACK LIMITS AT TURN 10 LAP 28 15:38:36,2023-07-02 13:41:44,RCM
2023_Austrian_Grand_Prix_Race,ALB,0,Turn 10,RACE_CONTROL_MESSAGE,CAR 23 (ALB) TIME 1:11.016 DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP),2023-07-02 13:41:45,RCM
2023_Austrian_Grand_Prix_Race,ALB,0,Unknown,RACE_CONTROL_MESSAGE,BLACK AND WHITE FLAG FOR CAR 23 (ALB) - TRACK LIMITS,2023-07-02 13:41:59,RCM
2023_Austrian_Grand_Prix_Race,GAS,25,Turn 10,RACE_CONTROL_MESSAGE,CAR 10 (GAS) TIME 1:10.541 DELETED - TRACK LIMITS AT TURN 10 LAP 25 15:34:55,2023-07-02 13:42:15,RCM
2023_Austrian_Grand_Prix_Race,GAS,0,Unknown,RACE_CONTROL_MESSAGE,BLACK AND WHITE FLAG FOR CAR 10 (GAS) - TRACK LIMITS,2023-07-02 13:42:23,RCM
2023_Austrian_Grand_Prix_Race,ALB,25,Turn 10,RACE_CONTROL_MESSAGE,CAR 23 (ALB) TIME 1:10.822 DELETED - TRACK LIMITS AT TURN 10 LAP 25 15:35:03,2023-07-02 13:42:51,RCM
2023_Austrian_Grand_Prix_Race,DEV,21,Turn 9,RACE_CONTROL_MESSAGE,CAR 21 (DEV) TIME 1:11.292 DELETED - TRACK LIMITS AT TURN 9 LAP 21 15:30:29,2023-07-02 13:43:28,RCM
2023_Austrian_Grand_Prix_Race,GAS,26,Turn 10,RACE_CONTROL_MESSAGE,CAR 10 (GAS) TIME 1:10.662 DELETED - TRACK LIMITS AT TURN 10 LAP 26 15:36:06,2023-07-02 13:43:38,RCM
2023_Austrian_Grand_Prix_Race,ALB,26,Turn 10,RACE_CONTROL_MESSAGE,CAR 23 (ALB) TIME 1:10.898 DELETED - TRACK LIMITS AT TURN 10 LAP 26 15:36:14,2023-07-02 13:44:03,RCM
2023_Austrian_Grand_Prix_Race,GAS,22,Turn 9,RACE_CONTROL_MESSAGE,CAR 10 (GAS) TIME 1:10.538 DELETED - TRACK LIMITS AT TURN 9 LAP 22 15:31:20,2023-07-02 13:45:24,RCM
2023_Austrian_Grand_Prix_Race,TSU,22,Turn 9,RACE_CONTROL_MESSAGE,CAR 22 (TSU) TIME 1:12.890 DELETED - TRACK LIMITS AT TURN 9 LAP 22 15:31:30,2023-07-02 13:45:36,RCM
2023_Austrian_Grand_Prix_Race,GAS,27,Turn 10,RACE_CONTROL_MESSAGE,CAR 10 (GAS) TIME 1:10.649 DELETED - TRACK LIMITS AT TURN 10 LAP 27 15:37:16,2023-07-02 13:46:10,RCM
2023_Austrian_Grand_Prix_Race,OCO,27,Turn 10,RACE_CONTROL_MESSAGE,CAR 31 (OCO) TIME 1:10.937 DELETED - TRACK LIMITS AT TURN 10 LAP 27 15:37:26,2023-07-02 13:46:28,RCM
2023_Austrian_Grand_Prix_Race,OCO,0,Turn 10,RACE_CONTROL_MESSAGE,CAR 31 (OCO) TIME 1:10.877 DELETED - TRACK LIMITS AT TURN 10 (NEXT LAP),2023-07-02 13:46:35,RCM
2023_Austrian_Grand_Prix_Race,NOR,28,Turn 10,RACE_CONTROL_MESSAGE,CAR 4 (NOR) TIME 1:09.947 DELETED - TRACK LIMITS AT TURN 10 LAP 28 15:38:15,2023-07-02 13:46:40,RCM
